"","age.x","politic_aff.x","rel_gender","prolific_id","per_sim1","per_sim2","persistence_time1","persistence_time2","persist_time_diff","KH_gender.x","KH_race.x"
"63",61,1,1,"66140c26ed884c5d523440f5",3,7,619.157,166.505,-452.652,"woman","black"
"64",50,5,1,"5798e5674a84da00014c652b",1,1,13.105,19.913,6.808,"woman","multiracial"
"65",33,3,1,"65d863e56337aa59292ccd66",2,2,254.985,176.102,-78.883,"woman","multiracial"
"66",37,1,1,"614d465852620924f85603c8",4,5,588.195,195.743,-392.452,"woman","black"
"67",37,1,1,"6234c1abfc04a4163c09a78f",3,7,56.02,17.446,-38.574,"none","multiracial"
"68",69,1,1,"5d16badb7b0154001a282fdb",6,5,177.655,4.6,-173.055,"none","multiracial"
"69",22,2,1,"65c69497ab503bf918ddd5b7",5,4,105.563,39.574,-65.989,"woman","none"
"70",30,3,1,"60fee7d1e674a0c1c1c7bd3d",1,1,88.713,114.415,25.702,"none","none"
"71",23,3,0,"671951eecace2a2564d8e6d1",3,3,264.038,134.277,-129.761,"woman","black"
"72",29,3,1,"66c79716764213af209bf479",1,1,26.872,91.463,64.591,"woman","none"
"73",19,1,1,"662fad6b6f397a64efc67680",6,5,485.648,330.632,-155.016,"none","black"
"74",52,3,1,"66f23f43364a3d1b7b018f27",2,5,104.326,198.487,94.161,"woman","none"
"75",29,1,0,"5a973481f05361000171dd86",7,7,241.04,363.214,122.174,"none","black"
"76",24,1,0,"671b88a41423fbafdc108002",3,6,74.244,120.72,46.476,"none","black"
"77",46,3,1,"62b9c2f1e55fe9f17dfedc5d",1,4,195.647,334.374,138.727,"none","multiracial"
"78",21,2,0,"66cbd62c530179615a4a90bc",1,1,427.093,240.403,-186.69,"woman","none"
"79",26,3,0,"5b57d2acbc04d60001e5e76e",1,1,165.411,753.085,587.674,"none","black"
"80",23,1,1,"66d0e76532f57b6d5e331265",4,4,121.02,217.78,96.76,"none","black"
"81",50,1,1,"65ce9513331028ff568c8c35",7,5,590.871,13.294,-577.577,"none","none"
"82",27,2,0,"65f366dfcb46b71238e9418d",1,1,233.859,82.735,-151.124,"none","multiracial"
"83",49,1,1,"6630e8e34d44debcf12844aa",1,2,182.876,749.918,567.042,"none","multiracial"
"84",26,4,1,"6713a19b0dca7f04dfa8984e",4,2,638.367,284.324,-354.043,"none","none"
"85",59,2,0,"65428dce96eb3e35d0744fde",4,3,663.685,423.244,-240.441,"none","multiracial"
"86",40,1,1,"5cd8d86210887400182db201",1,2,184.111,267.992,83.881,"none","multiracial"
"87",37,1,0,"615de5ffd3c522eef3c49556",1,1,54.881,91.367,36.486,"none","none"
"88",61,1,1,"643edca8dcd599c6fba5e31b",1,2,46.672,142.036,95.364,"none","black"
"89",29,2,0,"66cc91711ca3ffce3494567c",4,3,274.169,418.358,144.189,"woman","black"
"90",25,1,1,"6633ff088a92287249f6968c",6,6,104.116,22.544,-81.572,"woman","none"
"91",34,1,1,"65f05f1dbfcc8387b992be3b",7,6,62.55,17.133,-45.417,"none","none"
"92",34,2,0,"6643cb93892f9fea9beb94ea",4,1,24.844,16.15,-8.694,"none","multiracial"
"93",38,1,0,"66c62d55724d29c2c0037a44",4,3,40.123,215.181,175.058,"woman","black"
"94",28,2,0,"6697c78c699e877fa8fbca1e",1,2,269.886,282.659,12.773,"none","multiracial"
"95",48,1,0,"671912820d4a64051a764936",5,7,142.1,330.36,188.26,"none","multiracial"
"96",39,2,0,"6553e12c3b83480e8318225b",1,2,87.194,20.334,-66.86,"none","none"
"97",47,1,1,"66bd0b09c2bf9a8a4fb33127",7,7,324.935,150.341,-174.594,"woman","none"
"98",66,3,1,"6639047d6cee07457d9c13dc",5,3,341.154,207.614,-133.54,"none","multiracial"
"99",42,1,0,"63e5698a2a9d6ee125324a0f",4,5,149.168,157.882,8.714,"woman","black"
"100",34,3,1,"6601e907e7ad2fffeefac24d",1,1,66.203,57.814,-8.389,"none","none"
"101",24,1,1,"5b0b3ef830d562000155366f",3,4,72.472,77.536,5.064,"woman","none"
"102",37,1,1,"66a4fece73e9da048376fe8b",2,2,44.48,32.323,-12.157,"none","black"
"103",27,2,0,"666acca2e6de7dab6bad5514",1,3,45.288,64.476,19.188,"woman","none"
"104",50,2,0,"646b9dd602296866debaec41",1,1,145.422,900.009,754.587,"none","none"
"105",41,1,1,"669fb915167d6c4b8e71dbfb",6,6,24.673,178.802,154.129,"woman","multiracial"
"106",27,5,0,"64551d250ef342507eb0edf9",1,1,23.114,33.998,10.884,"none","black"
"107",64,2,1,"65706b89d4c6c32963d258e8",1,2,30.569,15.582,-14.987,"none","black"
"108",51,1,0,"66696c2b8740c3864590e2c2",7,6,41.711,201.921,160.21,"none","none"
"109",31,1,1,"5dd1f583946f7c24ccfae358",7,7,48.468,16.88,-31.588,"none","multiracial"
"110",20,2,0,"66a291f960c2f11d557fed98",1,1,35.664,18.827,-16.837,"none","multiracial"
"111",25,1,1,"6595e7a92ef094a5e3fb131a",2,3,111.941,32.126,-79.815,"none","none"
"112",31,1,1,"66575876e45a259924fc3650",5,2,177.578,53.541,-124.037,"woman","none"
"113",31,3,0,"63dcd38d8eea7b444949c5b7",1,2,61.301,18.494,-42.807,"none","black"
"114",38,1,1,"66cf5940f8d3999dd4619a15",3,3,326.448,713.928,387.48,"none","none"
"115",42,2,0,"66044622f6155bf104e762bc",6,2,64.999,89.604,24.605,"woman","multiracial"
"116",29,2,0,"6697db62aec025209ba20024",3,3,243.01,382.936,139.926,"woman","multiracial"
"117",33,2,0,"667196e97423e7565c192fb8",4,6,64.085,37.069,-27.016,"none","black"
